Number,Wiki,Language,Language (local),Good,Total,Edits,Admins,Users,Active Users,Files,Stub Ratio,Version,License,Archive,HTTP,ID,mt,Last update
161,hyw,Western Armenian,Արեւմտահայերէն,10644,22487,199799,5,8541,46,0,0.4733,1.41.0-wmf.4,n/a,archive,200,326,8,2023-04-18 00:08:04 (~ 5 hrs ago)
162,hif,Fiji Hindi,Fiji Hindi,10484,44693,284454,4,31341,34,192,0.2346,1.41.0-wmf.4,n/a,archive,200,274,8,2023-04-18 00:10:04 (~ 5 hrs ago)
163,mrj,Hill Mari,Кырык Мары (Kyryk Mary),10430,19229,103372,1,10391,20,0,0.5424,1.41.0-wmf.4,n/a,archive,200,293,8,2023-04-18 00:08:58 (~ 5 hrs ago)
164,sn,Shona,chiShona,10422,19140,105897,1,16511,23,0,0.5445,1.41.0-wmf.4,n/a,archive,200,133,8,2023-04-18 00:04:07 (~ 6 hrs ago)
165,tum,Tumbuka,chiTumbuka,10308,18462,62760,5,7660,18,27,0.5583,1.41.0-wmf.4,n/a,archive,200,205,8,2023-04-18 00:06:27 (~ 5 hrs ago)
166,bjn,Banjar,Bahasa Banjar,10282,29128,87317,3,13454,32,2,0.353,1.41.0-wmf.4,n/a,archive,200,292,8,2023-04-18 00:08:56 (~ 5 hrs ago)
167,mni,Meitei,ꯃꯤꯇꯩꯂꯣꯟ,10220,16425,50590,2,3062,17,0,0.6222,1.41.0-wmf.4,n/a,archive,200,342,8,2023-04-18 00:11:10 (~ 5 hrs ago)
168,km,Khmer,ភាសាខ្មែរ,10091,34268,294482,6,38824,93,1035,0.2945,1.41.0-wmf.4,n/a,archive,200,92,8,2023-04-18 00:02:46 (~ 6 hrs ago)
169,hak,Hakka,Hak-kâ-fa / 客家話,10044,19346,126959,1,31462,27,0,0.5192,1.41.0-wmf.4,n/a,archive,200,266,8,2023-04-18 00:09:53 (~ 5 hrs ago)
170,roa-tara,Tarantino,Tarandíne,9320,17963,144293,3,11167,22,179,0.5188,1.41.0-wmf.4,n/a,archive,200,256,8,2023-04-18 00:10:12 (~ 5 hrs ago)
171,so,Somali,Soomaaliga,9252,26893,250254,1,34684,91,0,0.344,1.41.0-wmf.4,n/a,archive,200,201,8,2023-04-18 00:06:19 (~ 5 hrs ago)
172,pam,Kapampangan,Kapampangan,8882,21489,296343,2,20149,23,403,0.4133,1.41.0-wmf.4,n/a,archive,200,191,8,2023-04-18 00:05:58 (~ 6 hrs ago)
173,rue,Rusyn,русиньскый язык,8633,18677,136007,1,27229,24,87,0.4622,1.41.0-wmf.4,n/a,archive,200,297,8,2023-04-18 00:09:07 (~ 5 hrs ago)
174,nso,Northern Sotho,Sesotho sa Leboa,8546,10844,50264,1,6290,13,0,0.7881,1.41.0-wmf.4,n/a,archive,200,302,8,2023-04-18 00:08:46 (~ 5 hrs ago)
175,bh,Bihari,भोजपुरी,8316,72288,744263,2,32025,65,53,0.115,1.41.0-wmf.4,n/a,archive,200,147,8,2023-04-18 00:04:34 (~ 6 hrs ago)
176,sat,Santali,ᱥᱟᱱᱛᱟᱲᱤ,8227,18783,112601,3,6577,30,0,0.438,1.41.0-wmf.4,n/a,archive,200,324,8,2023-04-18 00:08:08 (~ 5 hrs ago)
177,se,Northern Sami,Sámegiella,7841,20923,302001,5,27509,25,0,0.3748,1.41.0-wmf.4,n/a,archive,200,197,8,2023-04-18 00:06:10 (~ 5 hrs ago)
178,myv,Erzya,Эрзянь (Erzjanj Kelj),7797,27707,143045,4,12362,23,0,0.2814,1.41.0-wmf.4,n/a,archive,200,272,8,2023-04-18 00:09:49 (~ 5 hrs ago)
179,mi,Maori,Māori,7788,14167,161024,2,17679,23,0,0.5497,1.41.0-wmf.4,n/a,archive,200,82,8,2023-04-18 00:02:25 (~ 6 hrs ago)
180,vls,West Flemish,West-Vlams,7775,21592,312256,5,25691,22,480,0.3601,1.41.0-wmf.4,n/a,archive,200,233,8,2023-04-18 00:07:05 (~ 5 hrs ago)
181,nds-nl,Dutch Low Saxon,Nedersaksisch,7644,20624,323070,6,26934,23,571,0.3706,1.41.0-wmf.4,n/a,archive,200,228,8,2023-04-18 00:06:54 (~ 5 hrs ago)
